Movie,Path
Playboy: Girls Down Under (2000),1 hour#More than six months
Svart fredag (1997),Four months#[1K-5K[
Il poliziotto  marcio (1974),< 1M#Good
Kid Vengeance (1977),2 hours#Three months
Barry's Bespoke Bakery (2012),Less than a week#[10K-50K[
Del rosa al amarillo (1963),< 1M#Good
Suits on the Loose (2005),< 1M#Below average
Police Academy 2: Their First Assignment (1985),[5M-10M[#[10M-100M[*[10M-100M[#Below average
The Naked Gun: From the Files of Police Squad! (1988),[10M-50M[#[10M-100M[*[10M-100M[#Good
Moonrise Kingdom (2012),Two months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Star Trek Into Darkness (2013),Four months#>= 50M*>= 50M#> 100M*> 100M#Good
Gangsters Gamblers Geezers (2016),Two months#[1M-5M[
Natural Born Killers (1994),3 hours#Three months*Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Illegally Yours (1988),[10M-50M[#< 1M*< 1M#Below average
Close Distance (2005),Less than 15 minutes#One month*One month#< 1K
Roco de La Mancha (1963),< 1M#Below average
New Suit (2002),< 1M#Below average
Abbott and Costello in the Foreign Legion (1950),1.5 hours#Two months*Two months#[500K-1M[
The Call of the Wild (1972),2 hours#Five months
Elton John: The Red Piano (2005),1 hour#One month
Blue Skies Again (1983),< 1M#Below average
The Chant of Jimmie Blacksmith (1978),2 hours#Five months*Five months#[500K-1M[
Malos hbitos (2007),2 hours#Two months
Medicine Man (1992),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Gta kanal eller Vem drog ur proppen? (1981),[1M-10M[#Below average
Los ltimos das (2013),Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Good
Les assassins de l'ordre (1971),2 hours#Two months
Love on the Run (1936),[500K-1M[#[1M-10M[*[1M-10M[#Below average
From Kilimanjaro with Love (2008),1.5 hours#One month*One month#[500K-1M[
El fontanero, su mujer, y otras cosas de meter... (1981),< 1M#Below average
Waitress (2007),One month#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Good
The Robe (1953),[1M-5M[#[10M-100M[*[10M-100M[#Good
Kdisbellan (1993),[1M-10M[#Good
Major Payne (1995),2 hours#Three months*[10M-100M[#Good
Illegal Use of Joe Zopp (2008),2 hours#Two months*Two months#[5K-10K[
Swimming (2000),< 1M#Good
Au del de la haine (2005),< 1M#Good
The Broken (2008),Four months#[1M-5M[
Missing Child (2015),One month#[100K-500K[
Zombie Women of Satan (2009),1.5 hours#One month*One month#[10K-50K[
Luffar-Petter (1922),1.5 hours#Two months
Last Day on Earth (2012),Three months#[100K-500K[
O Homem Que Copiava (2003),< 1M#Good
Nocturne Six (2014),More than six months#[10K-50K[
Lorenzo's Oil (1992),More than six months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
Elk Hotel (2003),1 hour#Five months*Five months#[5K-10K[
La mme vert de gris (1953),2 hours#Three months
Mina Tannenbaum (1994),< 1M#Good
Boogie Nights (1997),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
I due figli di Ringo (1966),< 1M#Good
The Hunted (2003),One month#>= 50M*>= 50M#[10M-100M[*[10M-100M[#Good
Invitation to the Dance (1956),[1M-5M[#< 1M*< 1M#Good
Tumbleweeds (1925),1.5 hours#Three months*Three months#[100K-500K[
The Leopard Son (1996),< 1M#Good
JANIVA Marathi film (2015),[100K-500K[#< 1M*< 1M#Excellent
Lda Baarov (2016),Three months#[1M-5M[
Kinderjaren (2006),One month#[100K-500K[
Rumpelstiltskin (1987),< 1M#Below average
Girl on Girl: An Original Documentary (2015),More than six months#[10K-50K[
The Trouble with Barry (2013),Four months#[5K-10K[*[5K-10K[#< 1M*< 1M#Good
Bringing Godzilla Down to Size: The Art of Japanese Special Effects (2008),< 1M#Excellent
Zenabel (1969),< 1M#Below average
Gwendoline (1984),[1M-10M[#Below average
Telling Lies in America (1997),[1M-5M[#< 1M*< 1M#Good
Les filles ne savent pas nager (2000),< 1M#Good
I Hope They Serve Beer in Hell (2009),[1M-10M[#Below average
When a Man Loves a Woman (1994),[10M-100M[#Good
Fools for Scandal (1938),Three months#[1M-5M[
Las verdes praderas (1979),< 1M#Good
Zomer (2009),30 minutes#Less than a week
Midnight (2006),1.5 hours#Less than a week*Less than a week#[10K-50K[
La meilleure part (1955),2 hours#Three months*< 1M#Below average
Deadly Weekend (2014),One month#[100K-500K[
La storia vera della signora dalle camelie (1981),< 1M#Good
La tulipe noire (1964),< 1M#Good
Nursery University (2008),< 1M#Good
Samy y yo (2002),< 1M#Good
La discrte (1990),< 1M#Good
Fados (2007),< 1M#Good
Journey Into Fear (1975),Two months#[1M-5M[
Dacii (1966),2 hours#Four months*Four months#< 1K
Los cuervos (1961),< 1M#Below average
Brood (2009),One month#[1K-5K[
Grey Gardens (1975),< 1M#Good
Desafo en Ro Bravo (1964),< 1M#Below average
Lost and Found (1979),[1M-10M[#Below average
Ways of the Flesh (2006),[1M-10M[#Below average
See You in the Morning (1989),[1M-10M[#Below average
The Land Girls (1998),[1M-10M[#Good
Times Like Dying (2016),Less than a week#[10K-50K[
Nouvelle-France (2004),Four months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
The Code Conspiracy (2002),[500K-1M[#[10M-100M[*[10M-100M[#Good
Mistyfikacja (2010),Three months#[1M-5M[
Perez. (2014),< 1K#< 1M*< 1M#Good
Quartier de femmes (1974),< 1M#Below average
American Promise (2013),< 1M#Good
Sterke verhalen (2010),[100K-500K[#< 1M*< 1M#Below average
The Crimson Ghost (1946),One month#[100K-500K[
Life, Animated (2016),< 1M#Excellent
The Moderns (1988),[1M-10M[#Good
I Like Killing Flies (2004),< 1M#Good
La vida que te espera (2004),< 1M#Good
Maine Gandhi Ko Nahin Mara (2005),< 1M#Good
Misin cumplida (1970),1.5 hours#One month
The Exploding Girl (2009),< 1M#Good
Mischief (1985),[1M-10M[#Good
Neue Vahr Sd (2010),1.5 hours#Two months
Everything's Gone Green (2006),One month#[1M-5M[
Orphaned (2011),One month#[5K-10K[
Lagaan: Once Upon a Time in India (2001),[5M-10M[#[1M-10M[*[1M-10M[#Excellent
Pull the Trigger (2011),Less than 15 minutes#Less than a week*Less than a week#[1K-5K[
Wedding Crashers (2005),[10M-50M[#> 100M*> 100M#Good
Arrebato (1979),< 1M#Good
Craig (2015),Less than a week#[10K-50K[
Deep Cover (1992),[10M-100M[#Good
Naked Fame (2004),< 1M#Below average
The Wonderful World of Bill Maynard (2013),One month#[1K-5K[
Le bossu (1997),[10M-50M[#< 1M*< 1M#Good
Bound by Honor (1993),More than 3 hours#Six months*Six months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Excellent
The Company You Keep (2012),[1M-10M[#Good
The Greatest Show on Earth (1952),[1M-5M[#[10M-100M[*[10M-100M[#Good
Love Talks (2014),Two months#[1K-5K[
This Is Nowhere (2016),One month#[50K-100K[
Winnebago Man (2009),< 1M#Good
Voulez-vous danser avec moi (1959),Three months#[500K-1M[
Get Shorty (1995),Four months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
El pisito (1959),< 1M#Good
Lalli Johns (2001),< 1M#Good
Bloodline (2005),2 hours#Two months*Two months#[100K-500K[
Nacht vor Augen (2008),2 hours#Two months
Eraser (1996),More than six months#>= 50M*>= 50M#> 100M*> 100M#Good
La frontera del miedo (1958),< 1M#Below average
The Curse of the Sacred Stone (2010),30 minutes#Less than a week*Less than a week#[10K-50K[
I cento passi (2000),[1M-10M[#Good
The Adventures of Rocky & Bullwinkle (2000),Four months#>= 50M*>= 50M#[10M-100M[*[10M-100M[#Below average
Tum Se Achcha Kaun Hai (2002),< 1M#Below average
L'aile ou la cuisse (1976),< 1M#Good
The Oscar Nominated Short Films 2016: Animation (2016),[1M-10M[#Good
Joe Somebody (2001),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
What's Stevie Thinking? (2007),30 minutes#One month
Jsan-nin no shikaku (2010),[5M-10M[#< 1M*< 1M#Good
Mon fils  moi (2006),< 1M#Good
Don Camillo (1952),2 hours#Three months
Tecnica per un massacro (1967),< 1M#Below average
The Price of a Good Time (1917),1.5 hours#Three months
The Way Back Home (2006),2 hours#Two months
Lt den rtte komma in (2008),[1M-5M[#[1M-10M[*[1M-10M[#Excellent
Yackety Yack (1974),More than six months#[1K-5K[
Nous tions jeunes (2010),Less than 15 minutes#Three months
Bad Teacher (2011),[10M-50M[#> 100M*> 100M#Below average
Lost in Love: The Demo (2008),Less than 15 minutes#Two months*Two months#[5K-10K[
In the Soup (1992),< 1M#Good
Cross My Heart (1987),< 1M#Below average
L'ange de goudron (2001),< 1M#Good
Noi credevamo (2010),[5M-10M[#[1M-10M[*[1M-10M[#Good
Kryptonita (2015),< 1M#Below average
Chappie (2015),More than six months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Willy Wonka & the Chocolate Factory (1971),1.5 hours#Three months*Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
The Cave (2005),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Forbidden Love: The Unashamed Stories of Lesbian Lives (1992),< 1M#Good
Bure baruta (1998),< 1M#Good
A Cry in the Wild (1990),[1M-10M[#Below average
Toxic (2008),1.5 hours#Two months*Two months#[1M-5M[
Haiku Tunnel (2001),< 1M#Good
Logan (2010),[100K-500K[#< 1M*< 1M#Good
Manic (2001),< 1M#Good
The Crossing (1990),< 1M#Below average
Face-to-Face (2012),Less than a week#[10K-50K[
The Legend of Pale Male (2009),< 1M#Excellent
Accidental Love (2015),Three months#[10M-50M[
The Grace Lee Project (2005),< 1M#Good
Im Winter ein Jahr (2008),3 hours#Three months
Yoru no Shanghai (2007),2 hours#Two months*< 1M#Good
Dying Young (1991),[10M-100M[#Below average
Panique! (2009),1.5 hours#Two months
The Last Command (1955),Two months#[1M-5M[
Chrzest (2010),1.5 hours#Three months
Indiana Jones and the Last Crusade (1989),Five months#[10M-50M[*[10M-50M[#> 100M*> 100M#Excellent
Liebestraum (1991),< 1M#Good
Too Hot to Handle (1938),Four months#[1M-5M[
ABBA: The Movie (1977),< 1M#Good
Nashville (1975),[1M-5M[#[1M-10M[*[1M-10M[#Good
The Overnighters (2014),< 1M#Good
La violetera (1958),< 1M#Good
Diary of a Wimpy Kid: Rodrick Rules (2011),2 hours#Three months*Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Rotkppchen: The Blood of Red Riding Hood (2009),2 hours#Four months*Four months#[100K-500K[
Fresh (1994),Two months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
Anima (2003),30 minutes#One month*One month#[10K-50K[
Dansaren (1994),< 1M#Good
Jaan-E-Mann: Let's Fall in Love... Again (2006),[1M-5M[#< 1M*< 1M#Good
Blondie of the Follies (1932),Three months#[500K-1M[
Highlander: Endgame (2000),1.5 hours#Five months*Five months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Blood Done Sign My Name (2010),< 1M#Good
Private Parts (1997),[10M-50M[#[10M-100M[*[10M-100M[#Good
Dong gong xi gong (1996),< 1M#Good
Zampo y yo (1966),< 1M#Below average
Night Moves (2013),< 1M#Good
Greetings from the Shore (2007),< 1M#Good
Go Goa Gone (2013),< 1M#Good
OT: la pelcula (2002),> 100M#Bad
Samir Abu el-Nil (2013),< 1M#Below average
Shoreditch (2003),[5M-10M[#< 1M*< 1M#Bad
Julius Caesar (2011),2 hours#Two months*Two months#[10K-50K[
The Suburbans (1999),< 1M#Below average
Italyanets (2005),< 1M#Good
Pinjar: Beyond Boundaries... (2003),< 1M#Excellent
Is the Noise in My Head Bothering You? (2008),Less than 15 minutes#Less than a week*Less than a week#< 1K
Intimnye mesta (2013),< 1M#Below average
The Universal (2011),More than six months#[1K-5K[
Calle Mayor (1956),< 1M#Excellent
Los ltimos golpes de 'El Torete' (1980),< 1M#Below average
Die kleine und die groe Liebe (1938),1.5 hours#Five months
Night of the Dark Full Moon (1972),1.5 hours#Five months*Five months#[100K-500K[*[100K-500K[#< 1M*< 1M#Below average
It's a Digital World (1994),One month#[100K-500K[
Peor imposible, qu puede fallar? (2002),[1M-5M[#< 1M*< 1M#Bad
The Pirate (1948),[1M-5M[#[1M-10M[*[1M-10M[#Good
Mr. Nice (2010),< 1M#Good
Le tardone (1966),< 1M#Below average
Die blaue Hand (1967),1.5 hours#Two months
Horton Hears a Who! (2008),>= 50M#> 100M*> 100M#Good
Bright Young Things (2003),[1M-10M[#Good
Maple Flavour Films (2008),1 hour#More than six months*More than six months#[10K-50K[
The Flower Shop (2015),Less than a week#[10K-50K[
180 - Wenn deine Welt pltzlich Kopf steht (2010),Two months#[500K-1M[
Yurka (2000),< 1M#Good
Uslovna sloboda (2006),[100K-500K[#< 1M*< 1M#Below average
The Man with One Red Shoe (1985),Four months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Below average
Not Anymore: A Story of Revolution (2013),Two months#[10K-50K[
Catedral (2009),Less than a week#[1K-5K[
Backstage (2000),[1M-10M[#Below average
Tjorven och Skrllan (1965),< 1M#Good
Ivan Groznyy (1945),2 hours#More than six months
Elles (2011),Three months#[1M-5M[*[1M-5M[#< 1M*< 1M#Below average
The World's Most Fabulous Object (2007),One month#[1K-5K[
Presque rien (2000),< 1M#Good
Desconglate! (2003),[1M-10M[#Good
Exposed (1983),[1M-10M[#Below average
Defarious (2016),Less than a week#[10K-50K[
Le journal intime d'une nymphomane (1973),< 1M#Below average
Love Happens (2009),2 hours#Two months*Two months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
I Origins (2014),< 1M#Good
Opal Dream (2006),1.5 hours#Two months*Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Good
A spasso nel tempo - L'avventura continua (1997),[10M-100M[#Bad
Bill Cunningham New York (2010),[1M-10M[#Good
Sangre (2005),Three months#[100K-500K[
The Bear (1984),[100K-500K[#[1M-10M[*[1M-10M[#Good
Herbie Hancock: Possibilities (2006),< 1M#Good
Number One with a Bullet (2009),30 minutes#One month*One month#[5K-10K[
Las leandras (1969),< 1M#Good
Buttman's Young Lust (2001),< 1M#Below average
Storm Over Bengal (1938),1 hour#Three months
Ace Ventura: Pet Detective (1994),1.5 hours#Three months*Three months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Who Is Killing the Great Chefs of Europe? (1978),< 1M#Good
Hundstage (2001),< 1M#Good
Freedom Fighter (2010),Less than 15 minutes#Less than a week*Less than a week#< 1K
Escape Train (2009),Less than 15 minutes#Less than a week*Less than a week#< 1K
Dance of the Dragon (2008),Two months#[1M-5M[
Prince of the Himalayas (2006),< 1M#Good
Ghost Dad (1990),[10M-100M[#Below average
Saiba from Bhopal (2009),Less than 15 minutes#Two months
Alles is familie (2012),[1M-10M[#Good
I morgon, Mario (1994),< 1M#Below average
Divorce: The Musical (2001),[1M-5M[#< 1M*< 1M#Below average
Dulha Mil Gaya (2010),< 1M#Below average
The Glimmer Man (1996),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Chelsea Walls (2001),[50K-100K[#< 1M*< 1M#Below average
Al Franken: God Spoke (2006),[500K-1M[#< 1M*< 1M#Good
La Mission (2009),[1M-5M[#< 1M*< 1M#Good
Hole in One (2009),2 hours#One month*One month#[100K-500K[
Grateful Dawg (2000),< 1M#Good
Laaga Chunari Mein Daag: Journey of a Woman (2007),[1M-10M[#Below average
Fast Food Nation (2006),2 hours#Four months*< 1M#Good
Out of Place: Memories of Edward Said (2006),< 1M#Good
The Invaders: Genesis (2010),1.5 hours#More than six months
The Monkeyboy Fever (2007),Less than 15 minutes#Three months*Three months#< 1K
The Nutcracker Prince (1990),[1M-10M[#Good
Explicit Ills (2008),[1M-5M[#< 1M*< 1M#Below average
Der junge Trless (1966),1.5 hours#Two months
Fong juk (2006),[1M-5M[#< 1M*< 1M#Good
Nothing in Common (1986),[10M-100M[#Below average
The Running Man (1963),< 1M#Good
Anthropoid (2016),[1M-10M[#Good
El mundo sigue (1965),< 1M#Good
ACAB - All Cops Are Bastards (2012),Four months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
Shaft's Big Score! (1972),[1M-10M[#Good
Wes Hunting: Master of the Elements (2011),Less than a week#[10K-50K[
Camille 2000 (1969),[100K-500K[#< 1M*< 1M#Good
Amy's Orgasm (2001),[100K-500K[#< 1M*< 1M#Below average
Doogal (2006),[10M-50M[#[1M-10M[*[1M-10M[#Bad
Indovina chi viene a Natale? (2013),[1M-10M[#Below average
Jules et Jim (1962),< 1M#Good
Virtuosity (1995),Four months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Eight Crazy Nights (2002),[10M-50M[#[10M-100M[*[10M-100M[#Below average
Espera Fati! (2007),1 hour#Two months
Road to Burdon (2007),Less than a week#[1K-5K[
Kaijt no kessen: Gojira no musuko (1967),[500K-1M[#[1M-10M[*[1M-10M[#Below average
The Bad News Bears (1976),[10M-100M[#Good
Kerosene Cowboys (2010),2 hours#Two months*Two months#[10M-50M[
Ygisha: Muroi Shinji (2005),[10M-100M[#Below average
Awakened (2013),Two months#[1M-5M[
Dealin' with Idiots (2013),< 1M#Below average
The Railway Man (2013),[10M-50M[#[1M-10M[*[1M-10M[#Good
Dirty Grandpa (2016),[10M-50M[#[10M-100M[*[10M-100M[#Good
Child's Play 2 (1990),1.5 hours#Three months*Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Cleaner (2007),2 hours#Two months*Two months#[10M-50M[*[10M-50M[#[1M-10M[*[1M-10M[#Good
La cripta e l'incubo (1964),< 1M#Below average
Hwal (2005),[500K-1M[#< 1M*< 1M#Good
De Club van Sinterklaas & De Verdwenen Schoentjes (2015),[1M-10M[#Good
La tumba de la isla maldita (1973),< 1M#Below average
La maudite galette (1972),Two months#[100K-500K[
Shabd (2005),< 1M#Below average
Dead or Alive: Hanzaisha (1999),[1K-5K[#< 1M*< 1M#Good
Aprs vous... (2003),< 1M#Good
Camp (2003),[1M-10M[#Good
The Cookie Monster (2012),Less than a week#< 1K
The Woman Chaser (1999),[1M-5M[#< 1M*< 1M#Good
Crash My School (2007),30 minutes#Less than a week
Kieran Hates Hotdogs (2016),Less than 15 minutes#Less than a week
Valley of Love (2015),< 1M#Below average
Gridlock'd (1997),[1M-10M[#Good
1. Mai (2008),2 hours#Three months
Darby's Rangers (1958),2 hours#Three months
Storm Boy (1976),Two months#[100K-500K[*[100K-500K[#[1M-10M[*[1M-10M[#Good
T Mjert (2013),One month#[10K-50K[
The Devil's Own (1997),Six months#>= 50M*>= 50M#> 100M*> 100M#Good
Doragon bru Z: Kiken na Futari! Sp senshi wa Nemurenai (1994),[10M-100M[#Good
Nobody Walks (2012),< 1M#Below average
Reise nach Agatis (2010),Less than a week#[10K-50K[
Singham (2011),< 1M#Good
L'autre (2005),Less than 15 minutes#Less than a week
Dreamworld (2006),Less than 15 minutes#Three months
Reform School Girls (1986),[1M-10M[#Below average
Pandemonia (2013),Two months#[5K-10K[
The Crowd Inside (1971),Three months#[100K-500K[
Charlie St. Cloud (2010),2 hours#Three months*Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Flicka (2006),[10M-50M[#[10M-100M[*[10M-100M[#Good
Eragon (2006),Four months#>= 50M*>= 50M#> 100M*> 100M#Below average
Little Annie Rooney (1925),2 hours#Three months*[1M-10M[#Good
Harvard Man (2001),Two months#[5M-10M[*[5M-10M[#< 1M*< 1M#Below average
A Broken Family (2010),Less than 15 minutes#Two months*Two months#[5K-10K[
The Business (2005),Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
Junior Bonner (1972),[1M-5M[#[1M-10M[*[1M-10M[#Good
Viva Rica Solteira No Fica (2006),3 hours#Three months
Carbon Copy (1981),[1M-10M[#Below average
Deadtime Stories (1986),[1M-10M[#Below average
Panic (2000),One month#[500K-1M[*[500K-1M[#< 1M*< 1M#Good
Indivisibili (2016),< 1M#Good
Der neunte Tag (2004),2 hours#Three months*< 1M#Good
Spa Night (2016),< 1M#Below average
Kuroi ame (1989),< 1M#Excellent
Ryan's Daughter (1970),[10M-50M[#[10M-100M[*[10M-100M[#Good
Heavy Weights (1995),[10M-100M[#Good
Leben auf Hochglanz (2007),Less than 15 minutes#Less than a week
Cape Fear (1991),Four months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
For All That We Are (2015),Three months#[100K-500K[
Fireproof (2008),3 hours#Three months*Three months#[100K-500K[*[100K-500K[#[10M-100M[*[10M-100M[#Good
Art Mystery (2016),Less than 15 minutes#One month*One month#< 1K
Star Trek: The Motion Picture (1979),3 hours#Six months*Six months#[10M-50M[*[10M-50M[#> 100M*> 100M#Good
Nymphomaniac: Vol. I (2013),< 1M#Good
Cerca de la ciudad (1952),< 1M#Below average
The Day the Bubble Burst (1982),3 hours#Five months
Spectres (2004),2 hours#One month
Mayhem's Razor (2008),30 minutes#Less than a week*Less than a week#[1K-5K[
Lea (1996),< 1M#Good
Sitting Bull (1954),[1M-10M[#Below average
Left Unspoken (2009),Less than 15 minutes#Less than a week
Blank City (2010),< 1M#Good
J'ai vu tuer Ben Barka (2005),2 hours#Two months
Mothers and Daughters (2016),< 1M#Below average
The Venice Project (1999),1.5 hours#One month
Max Rose (2013),< 1M#Good
Piney (2016),Less than a week#< 1K
Ik geloof dat ik gelukkig ben (2015),One month#[5K-10K[
Place (2009),30 minutes#Less than a week*Less than a week#[100K-500K[
Wish You Were Here (1987),[1M-10M[#Good
Filth to Ashes, Flesh to Dust (2011),[50K-100K[#< 1M*< 1M#Bad
Michael and Claire: A Portrait of Love and Dreams (2004),2 hours#Two months*Two months#[100K-500K[
Konets Sankt-Peterburga (1927),< 1M#Good
The Things Unsaid (2006),Less than 15 minutes#One month*One month#[5K-10K[
Poltergeist (2015),[10M-50M[#[10M-100M[*[10M-100M[#Below average
The Flamingo Kid (1984),[10M-100M[#Good
Return to Babylon (2013),More than six months#[1M-5M[
A Home at the End of the World (2004),[5M-10M[#[1M-10M[*[1M-10M[#Good
Blackhat (2015),>= 50M#[1M-10M[*[1M-10M[#Below average
Til Death (2010),Less than 15 minutes#Less than a week*Less than a week#< 1K
Tukaram (2012),[100K-500K[#< 1M*< 1M#Good
Please Kill Mr. Know It All (2012),Two months#[1M-5M[
Children of the Revolution (1996),< 1M#Good
My Architect (2003),[1M-10M[#Good
Tamara (2005),2 hours#One month*One month#[1M-5M[*[1M-5M[#< 1M*< 1M#Below average
Get Over It (2001),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Mariona Rebull (1947),< 1M#Good
Morena Clara (1954),< 1M#Good
The Pit (1981),2 hours#Two months*Two months#[500K-1M[
The Warriors (1979),Four months#[1M-5M[*[1M-5M[#[10M-100M[*[10M-100M[#Good
The Bye Bye Man (2016),Two months#[10M-50M[
Dik Trom (2010),[1M-10M[#Good
Loren Cass (2006),[10K-50K[#< 1M*< 1M#Below average
9 s 1/2 randi (2008),[1M-5M[#< 1M*< 1M#Below average
Goldengirl (1979),[1M-10M[#Below average
The Little Shop of Horrors (1960),Less than a week#[10K-50K[
Schultze Gets the Blues (2003),2 hours#Three months*< 1M#Good
Mutiny on the Bounty (1935),Five months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
31 Min. (2004),1 hour#Two months*Two months#< 1K
Equinox (1992),< 1M#Below average
Resan till Melonia (1989),[1M-5M[#< 1M*< 1M#Good
ideist parhain (2005),2 hours#Three months*Three months#[1M-5M[*[1M-5M[#[1M-10M[*[1M-10M[#Good
The 'Burbs (1989),[10M-100M[#Good
Insane (2010),1.5 hours#One month*One month#[500K-1M[
Hollywood, Pennsylvania (2001),Three months#[100K-500K[
Lost Tales from Camp Blood: Part 5 (2009),Less than 15 minutes#Less than a week
Low Blow (1986),< 1M#Bad
Level Five (1997),< 1M#Good
Way... Way Out (1966),2 hours#Three months*Three months#[1M-5M[
Five Graves to Cairo (1943),Four months#[500K-1M[
Mumbai Express (2005),< 1M#Below average
Forever Young (2016),Less than a week#[10K-50K[
Los das de Cabirio (1971),< 1M#Bad
Novios 68 (1967),< 1M#Below average
The Return of Tommy Tricker (1994),< 1M#Below average
La sociedad del horror y de lo absurdo (2013),One month#[1K-5K[
Pei an dong ni du guo man chang sui yue (2015),< 1M#Below average
Brasov International Film Festival & Market 2013 (2014),One month#[500K-1M[
Intalniri incrucisate (2008),Two months#[500K-1M[
Tully (2000),< 1M#Good
XX/XY (2002),< 1M#Good
Indian (1996),[1M-5M[#[1M-10M[*[1M-10M[#Excellent
Harrigan (2013),One month#[1M-5M[
Bad Influence (1990),Three months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Down, Across & Up (2010),More than six months#[100K-500K[
De Marathon (2012),[1M-10M[#Good
Mother-Daughter Exchange Club Part 3 (2008),More than 3 hours#One month
Laserhawk (1997),2 hours#Two months*Two months#[5M-10M[
Il momento della verit (1965),< 1M#Good
Strme der Leidenschaft (1932),2 hours#Two months
One Eyed Girl (2014),[500K-1M[#< 1M*< 1M#Good
8  Women (1999),< 1M#Below average
My Last Fall (2005),30 minutes#One month*One month#[1K-5K[
Escape from Alcatraz (1979),Four months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
American Dreamz (2006),Three months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Below average
Opportunity Knocks (1990),[10M-100M[#Below average
The Perfect Weapon (1991),1.5 hours#Four months*Four months#[5M-10M[*[5M-10M[#[10M-100M[*[10M-100M[#Good
Awara Paagal Deewana (2002),[1M-10M[#Good
Brothers of the Wind (2015),< 1M#Good
Husbands in Goa (2012),< 1M#Bad
Meu Nome No  Johnny (2008),[1M-5M[#[1M-10M[*[1M-10M[#Good
Supilinna Salaselts (2015),[1M-5M[#< 1M*< 1M#Good
Hurlevent (1985),< 1M#Good
Tres hombres buenos (1963),< 1M#Below average
Eurpa kemping (1992),1.5 hours#One month
How to Lose Friends & Alienate People (2008),[10M-50M[#[10M-100M[*[10M-100M[#Good
Blind Husbands (1919),[10K-50K[#< 1M*< 1M#Good
Johnny (2009),30 minutes#Four months*Four months#[5K-10K[
Painted Faces (1992),30 minutes#Two months*Two months#[5K-10K[
Broken Bridges (2006),2 hours#One month*< 1M#Good
The Jezebels (1975),[100K-500K[#< 1M*< 1M#Good
06/05 (2004),2 hours#Two months*Two months#[1M-5M[*[1M-5M[#< 1M*< 1M#Good
La siciliana ribelle (2008),< 1M#Good
Jopog manura (2001),< 1M#Good
Scacco alla mafia (1970),< 1M#Below average
Uccidi Django... uccidi per primo!!! (1971),< 1M#Below average
Kick-Ass (2010),More than six months#[10M-50M[*[10M-50M[#[10M-100M[*[10M-100M[#Good
Full Disclosure (2001),2 hours#Three months
Nadine (1987),[10M-50M[#[1M-10M[*[1M-10M[#Below average
Las 4 bodas de Marisol (1967),< 1M#Below average
Tang ren jie tan an (2015),> 100M#Good
Shakedown (1988),2 hours#Three months*Three months#[5M-10M[*[5M-10M[#[1M-10M[*[1M-10M[#Below average
I tre del Colorado (1965),< 1M#Bad
The Making of 'GoldenEye': A Video Journal (1999),Less than 15 minutes#Three months
Myoot (2016),Less than a week#[1K-5K[
Lactose Intolerance (2011),Less than 15 minutes#Less than a week
Logic on Fire (2015),More than six months#[100K-500K[
On the Buses (1971),Two months#[100K-500K[
Bob Dylan Never Ending Tour Diaries: Drummer Winston Watson's Incredible Journey (2009),2 hours#One month
Le monache di Sant'Arcangelo (1973),< 1M#Below average
Arthur (2016),Less than a week#[10K-50K[
Anomalisa (2015),[5M-10M[#[1M-10M[*[1M-10M[#Good
